2024:02:26:02:05:13; 16089.852589607239; 3126572.747934087; [",;","g","w","p","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","s","e€","n","d","l","+*~","<>|","o","c","h","x","ä","k","ö","y","v","#'"]
2024:02:26:02:06:43; 16179.9932076931; 3126572.747934087; [",;","g","w","p","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","s","e€","n","d","l","+*~","<>|","o","c","h","x","ä","k","ö","y","v","#'"]
2024:02:26:02:08:11; 16268.312252521515; 3126572.747934087; [",;","g","w","p","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","s","e€","n","d","l","+*~","<>|","o","c","h","x","ä","k","ö","y","v","#'"]
2024:02:26:02:09:41; 16357.827869653702; 3126572.747934087; [",;","g","w","p","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","s","e€","n","d","l","+*~","<>|","o","c","h","x","ä","k","ö","y","v","#'"]
2024:02:26:02:11:12; 16448.87473654747; 3126572.747934087; [",;","g","w","p","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","s","e€","n","d","l","+*~","<>|","o","c","h","x","ä","k","ö","y","v","#'"]
2024:02:26:02:12:42; 16538.67159485817; 3126572.747934087; [",;","g","w","p","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","s","e€","n","d","l","+*~","<>|","o","c","h","x","ä","k","ö","y","v","#'"]
2024:02:26:02:14:12; 16629.093452453613; 3126572.747934087; [",;","g","w","p","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","s","e€","n","d","l","+*~","<>|","o","c","h","x","ä","k","ö","y","v","#'"]
2024:02:26:02:15:42; 16718.874685049057; 3126572.747934087; [",;","g","w","p","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","s","e€","n","d","l","+*~","<>|","o","c","h","x","ä","k","ö","y","v","#'"]
2024:02:26:02:17:10; 16807.435232400894; 3126572.747934087; [",;","g","w","p","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","s","e€","n","d","l","+*~","<>|","o","c","h","x","ä","k","ö","y","v","#'"]
2024:02:26:02:18:41; 16898.16960787773; 3126572.747934087; [",;","g","w","p","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","s","e€","n","d","l","+*~","<>|","o","c","h","x","ä","k","ö","y","v","#'"]
2024:02:26:02:20:11; 16988.310230970383; 3126572.747934087; [",;","g","w","p","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","s","e€","n","d","l","+*~","<>|","o","c","h","x","ä","k","ö","y","v","#'"]
2024:02:26:02:21:42; 17079.013355255127; 3126572.747934087; [",;","g","w","p","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","s","e€","n","d","l","+*~","<>|","o","c","h","x","ä","k","ö","y","v","#'"]
2024:02:26:02:23:14; 17170.55966901779; 3126572.747934087; [",;","g","w","p","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","s","e€","n","d","l","+*~","<>|","o","c","h","x","ä","k","ö","y","v","#'"]
2024:02:26:02:24:44; 17260.5909075737; 3126572.747934087; [",;","g","w","p","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","s","e€","n","d","l","+*~","<>|","o","c","h","x","ä","k","ö","y","v","#'"]
2024:02:26:02:26:11; 17347.903391361237; 3126572.747934087; [",;","g","w","p","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","s","e€","n","d","l","+*~","<>|","o","c","h","x","ä","k","ö","y","v","#'"]
2024:02:26:02:27:40; 17437.10454058647; 3126572.747934087; [",;","g","w","p","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","s","e€","n","d","l","+*~","<>|","o","c","h","x","ä","k","ö","y","v","#'"]
2024:02:26:02:29:09; 17526.01078057289; 3126572.747934087; [",;","g","w","p","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","s","e€","n","d","l","+*~","<>|","o","c","h","x","ä","k","ö","y","v","#'"]
2024:02:26:02:30:38; 17615.49516940117; 3126572.747934087; [",;","g","w","p","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","s","e€","n","d","l","+*~","<>|","o","c","h","x","ä","k","ö","y","v","#'"]
2024:02:26:02:32:09; 17706.292038679123; 3110486.7828827417; ["p","g","w",",;","ü","j","b",".:","m","z","q@","-_","t","i","r","u","a","f","s","e€","n","d","l","+*~","<>|","o","c","h","x","ä","k","ö","y","v","#'"]
2024:02:26:02:33:41; 17797.54203104973; 3072934.1158418655; [",;","g","w","p","ü","j","b",".:","m","z","q@","-_","t","i","r","u","a","f","s","e€","n","d","l","+*~","<>|","o","c","h","x","ä","k","ö","y","v","#'"]
2024:02:26:02:35:11; 17887.963915109634; 3072934.1158418655; [",;","g","w","p","ü","j","b",".:","m","z","q@","-_","t","i","r","u","a","f","s","e€","n","d","l","+*~","<>|","o","c","h","x","ä","k","ö","y","v","#'"]
2024:02:26:02:36:41; 17978.042031764984; 3072934.1158418655; [",;","g","w","p","ü","j","b",".:","m","z","q@","-_","t","i","r","u","a","f","s","e€","n","d","l","+*~","<>|","o","c","h","x","ä","k","ö","y","v","#'"]
2024:02:26:02:38:11; 18067.58181977272; 3072934.1158418655; [",;","g","w","p","ü","j","b",".:","m","z","q@","-_","t","i","r","u","a","f","s","e€","n","d","l","+*~","<>|","o","c","h","x","ä","k","ö","y","v","#'"]
2024:02:26:02:39:40; 18157.019324064255; 3041968.3513427004; ["w","g",",;","p","ü","j","b",".:","m","z","q@","+*~","t","i","r","u","a","f","s","e€","n","d","l","-_","<>|","o","c","h","x","ä","k","ö","y","v","#'"]
